[     162ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:5173/favicon.ico:0
[    2451ms] [LOG] entities 37  frames 233  window 233  mean 0.41ms  p95 0.48ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[    4451ms] [LOG] entities 37  frames 473  window 240  mean 0.27ms  p95 0.46ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[    6459ms] [LOG] entities 37  frames 714  window 240  mean 0.25ms  p95 0.39ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[    8459ms] [LOG] entities 37  frames 954  window 240  mean 0.28ms  p95 0.47ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   10467ms] [LOG] entities 37  frames 1195  window 240  mean 0.24ms  p95 0.37ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   12476ms] [LOG] entities 37  frames 1436  window 240  mean 0.26ms  p95 0.42ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   14484ms] [LOG] entities 37  frames 1677  window 240  mean 0.27ms  p95 0.42ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   16492ms] [LOG] entities 37  frames 1918  window 240  mean 0.25ms  p95 0.45ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   18501ms] [LOG] entities 37  frames 2159  window 240  mean 0.24ms  p95 0.39ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   20501ms] [LOG] entities 37  frames 2399  window 240  mean 0.27ms  p95 0.46ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   22509ms] [LOG] entities 37  frames 2640  window 240  mean 0.25ms  p95 0.41ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   24509ms] [LOG] entities 37  frames 2880  window 240  mean 0.26ms  p95 0.39ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   26517ms] [LOG] entities 37  frames 3121  window 240  mean 0.26ms  p95 0.46ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   28517ms] [LOG] entities 37  frames 3361  window 240  mean 0.26ms  p95 0.41ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   30526ms] [LOG] entities 37  frames 3602  window 240  mean 0.23ms  p95 0.35ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   32526ms] [LOG] entities 37  frames 3842  window 240  mean 0.27ms  p95 0.37ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   34534ms] [LOG] entities 37  frames 4083  window 240  mean 0.23ms  p95 0.34ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   36542ms] [LOG] entities 37  frames 4324  window 240  mean 0.26ms  p95 0.39ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   38542ms] [LOG] entities 37  frames 4564  window 240  mean 0.24ms  p95 0.32ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   40551ms] [LOG] entities 37  frames 4805  window 240  mean 0.25ms  p95 0.37ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   42551ms] [LOG] entities 37  frames 5045  window 240  mean 0.24ms  p95 0.30ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   44559ms] [LOG] entities 37  frames 5286  window 240  mean 0.26ms  p95 0.36ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   46559ms] [LOG] entities 37  frames 5526  window 240  mean 0.23ms  p95 0.32ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   48559ms] [LOG] entities 37  frames 5766  window 240  mean 0.25ms  p95 0.37ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   50568ms] [LOG] entities 37  frames 6007  window 240  mean 0.23ms  p95 0.34ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   52576ms] [LOG] entities 37  frames 6248  window 240  mean 0.23ms  p95 0.33ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   54576ms] [LOG] entities 37  frames 6488  window 240  mean 0.24ms  p95 0.38ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   56584ms] [LOG] entities 37  frames 6729  window 240  mean 0.23ms  p95 0.32ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   58584ms] [LOG] entities 37  frames 6969  window 240  mean 0.24ms  p95 0.36ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   60584ms] [LOG] entities 37  frames 7209  window 240  mean 0.23ms  p95 0.32ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   62592ms] [LOG] entities 37  frames 7450  window 240  mean 0.25ms  p95 0.35ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   64601ms] [LOG] entities 37  frames 7691  window 240  mean 0.24ms  p95 0.32ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   66609ms] [LOG] entities 37  frames 7932  window 240  mean 0.25ms  p95 0.33ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   68609ms] [LOG] entities 37  frames 8172  window 240  mean 0.24ms  p95 0.33ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   70617ms] [LOG] entities 37  frames 8413  window 240  mean 0.25ms  p95 0.36ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   72617ms] [LOG] entities 37  frames 8653  window 240  mean 0.22ms  p95 0.31ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   74617ms] [LOG] entities 37  frames 8893  window 240  mean 0.23ms  p95 0.31ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   76617ms] [LOG] entities 37  frames 9133  window 240  mean 0.24ms  p95 0.36ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   78626ms] [LOG] entities 37  frames 9374  window 240  mean 0.23ms  p95 0.32ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   80634ms] [LOG] entities 37  frames 9615  window 240  mean 0.25ms  p95 0.35ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   82634ms] [LOG] entities 37  frames 9855  window 240  mean 0.23ms  p95 0.31ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   84642ms] [LOG] entities 37  frames 10096  window 240  mean 0.26ms  p95 0.36ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   86651ms] [LOG] entities 37  frames 10337  window 240  mean 0.25ms  p95 0.32ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   88659ms] [LOG] entities 37  frames 10578  window 240  mean 0.27ms  p95 0.35ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   90659ms] [LOG] entities 37  frames 10818  window 240  mean 0.24ms  p95 0.33ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   92667ms] [LOG] entities 37  frames 11059  window 240  mean 0.25ms  p95 0.35ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   94667ms] [LOG] entities 37  frames 11299  window 240  mean 0.24ms  p95 0.37ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   96676ms] [LOG] entities 37  frames 11540  window 240  mean 0.24ms  p95 0.35ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   98684ms] [LOG] entities 37  frames 11781  window 240  mean 0.24ms  p95 0.35ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  100684ms] [LOG] entities 37  frames 12021  window 240  mean 0.24ms  p95 0.35ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  102684ms] [LOG] entities 37  frames 12261  window 240  mean 0.23ms  p95 0.33ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  104692ms] [LOG] entities 37  frames 12502  window 240  mean 0.24ms  p95 0.34ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  106701ms] [LOG] entities 37  frames 12743  window 240  mean 0.24ms  p95 0.35ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  108709ms] [LOG] entities 37  frames 12984  window 240  mean 0.24ms  p95 0.35ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  110709ms] [LOG] entities 37  frames 13224  window 240  mean 0.22ms  p95 0.29ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  112709ms] [LOG] entities 37  frames 13464  window 240  mean 0.23ms  p95 0.32ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  114717ms] [LOG] entities 37  frames 13705  window 240  mean 0.24ms  p95 0.33ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  116725ms] [LOG] entities 37  frames 13946  window 240  mean 0.23ms  p95 0.30ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  118725ms] [LOG] entities 37  frames 14186  window 240  mean 0.23ms  p95 0.32ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  120726ms] [LOG] entities 37  frames 14426  window 240  mean 0.23ms  p95 0.32ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  122734ms] [LOG] entities 37  frames 14667  window 240  mean 0.23ms  p95 0.32ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  124742ms] [LOG] entities 37  frames 14908  window 240  mean 0.23ms  p95 0.32ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  126742ms] [LOG] entities 37  frames 15148  window 240  mean 0.24ms  p95 0.36ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  128750ms] [LOG] entities 37  frames 15389  window 240  mean 0.24ms  p95 0.35ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  130759ms] [LOG] entities 37  frames 15630  window 240  mean 0.25ms  p95 0.38ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  132767ms] [LOG] entities 37  frames 15871  window 240  mean 0.22ms  p95 0.31ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  134767ms] [LOG] entities 37  frames 16111  window 240  mean 0.22ms  p95 0.28ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  136775ms] [LOG] entities 37  frames 16352  window 240  mean 0.21ms  p95 0.29ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  138775ms] [LOG] entities 37  frames 16592  window 240  mean 0.22ms  p95 0.33ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  140784ms] [LOG] entities 37  frames 16833  window 240  mean 0.22ms  p95 0.31ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  142792ms] [LOG] entities 37  frames 17074  window 240  mean 0.21ms  p95 0.29ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  144800ms] [LOG] entities 37  frames 17315  window 240  mean 0.21ms  p95 0.28ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  146809ms] [LOG] entities 37  frames 17556  window 240  mean 0.22ms  p95 0.29ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  148817ms] [LOG] entities 37  frames 17797  window 240  mean 0.21ms  p95 0.28ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  150825ms] [LOG] entities 37  frames 18038  window 240  mean 0.21ms  p95 0.28ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  152834ms] [LOG] entities 37  frames 18279  window 240  mean 0.21ms  p95 0.29ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  154842ms] [LOG] entities 37  frames 18520  window 240  mean 0.21ms  p95 0.28ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  156842ms] [LOG] entities 37  frames 18760  window 240  mean 0.22ms  p95 0.30ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  158850ms] [LOG] entities 37  frames 19001  window 240  mean 0.22ms  p95 0.30ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  160850ms] [LOG] entities 37  frames 19241  window 240  mean 0.21ms  p95 0.27ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  162859ms] [LOG] entities 37  frames 19482  window 240  mean 0.22ms  p95 0.30ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  164867ms] [LOG] entities 37  frames 19723  window 240  mean 0.21ms  p95 0.25ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
