[      93ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:5173/favicon.ico:0
[    2206ms] [LOG] entities 37  frames 242  window 240  mean 0.30ms  p95 0.39ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[    4206ms] [LOG] entities 37  frames 482  window 240  mean 0.24ms  p95 0.37ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[    6214ms] [LOG] entities 37  frames 723  window 240  mean 0.23ms  p95 0.35ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[    8214ms] [LOG] entities 37  frames 963  window 240  mean 0.22ms  p95 0.35ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   10222ms] [LOG] entities 37  frames 1204  window 240  mean 0.22ms  p95 0.35ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   12231ms] [LOG] entities 37  frames 1445  window 240  mean 0.22ms  p95 0.34ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   14239ms] [LOG] entities 37  frames 1686  window 240  mean 0.21ms  p95 0.33ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   16239ms] [LOG] entities 37  frames 1926  window 240  mean 0.22ms  p95 0.35ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   18247ms] [LOG] entities 37  frames 2167  window 240  mean 0.22ms  p95 0.37ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   20256ms] [LOG] entities 37  frames 2408  window 240  mean 0.21ms  p95 0.34ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   22264ms] [LOG] entities 37  frames 2649  window 240  mean 0.21ms  p95 0.33ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   24272ms] [LOG] entities 37  frames 2890  window 240  mean 0.22ms  p95 0.33ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   26281ms] [LOG] entities 37  frames 3131  window 240  mean 0.22ms  p95 0.34ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   28289ms] [LOG] entities 37  frames 3372  window 240  mean 0.23ms  p95 0.37ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   30297ms] [LOG] entities 37  frames 3613  window 240  mean 0.21ms  p95 0.34ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   32306ms] [LOG] entities 37  frames 3854  window 240  mean 0.22ms  p95 0.35ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   34314ms] [LOG] entities 37  frames 4095  window 240  mean 0.21ms  p95 0.33ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   36322ms] [LOG] entities 37  frames 4336  window 240  mean 0.21ms  p95 0.34ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   38322ms] [LOG] entities 37  frames 4576  window 240  mean 0.23ms  p95 0.37ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   40331ms] [LOG] entities 37  frames 4817  window 240  mean 0.22ms  p95 0.35ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   42339ms] [LOG] entities 37  frames 5058  window 240  mean 0.21ms  p95 0.34ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   44339ms] [LOG] entities 37  frames 5298  window 240  mean 0.22ms  p95 0.35ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   46347ms] [LOG] entities 37  frames 5539  window 240  mean 0.20ms  p95 0.33ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   48347ms] [LOG] entities 37  frames 5779  window 240  mean 0.23ms  p95 0.37ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   50356ms] [LOG] entities 37  frames 6020  window 240  mean 0.22ms  p95 0.34ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   52364ms] [LOG] entities 37  frames 6261  window 240  mean 0.21ms  p95 0.34ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   54372ms] [LOG] entities 37  frames 6502  window 240  mean 0.21ms  p95 0.33ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   56372ms] [LOG] entities 37  frames 6742  window 240  mean 0.23ms  p95 0.34ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   58381ms] [LOG] entities 37  frames 6983  window 240  mean 0.22ms  p95 0.34ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   60389ms] [LOG] entities 37  frames 7224  window 240  mean 0.22ms  p95 0.34ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   62397ms] [LOG] entities 37  frames 7465  window 240  mean 0.21ms  p95 0.33ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   64397ms] [LOG] entities 37  frames 7705  window 240  mean 0.21ms  p95 0.32ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   66406ms] [LOG] entities 37  frames 7946  window 240  mean 0.20ms  p95 0.33ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   68414ms] [LOG] entities 37  frames 8187  window 240  mean 0.23ms  p95 0.34ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   70422ms] [LOG] entities 37  frames 8428  window 240  mean 0.22ms  p95 0.33ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[   72431ms] [LOG] entities 37  frames 8669  window 240  mean 0.21ms  p95 0.33ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
